id,parentId,priority,title
6101,61,0,Inversion of Control
6102,61,0,Inter-Process Communication
6103,61,0,Event-Driven programming
6104,61,0,AbstractionLayers
6201,62,0,Підприємство як об'єкт господарювання 
6202,62,0,Економічний механізм
6203,62,0,Основні засоби підприємства
6204,62,0,Оборотні засоби підприємства
6205,62,0,Кадри і продуктивність праці
6206,62,0,Організація оплати праці на підприємстві
6207,62,0,Витрати виробництва та собівартість продукції
6208,62,0,Ціни та ціноутворення підприємства в умовах ринку
6209,62,0,Фінансово-економічні результати діяльності підприємства
6210,62,0,Якість і конкурентноспроможність
6211,62,0,Організація основного виробництва
6212,62,0,Технологічна та організаційна підготовка виробництва
6213,62,0,Організація допоміжного виробництва
6214,62,0,Організація технічного обслуговування і ремонту обладнання
6215,62,0,Прогнозування і планування діяльності підприємства
6401,64,0,Історія української культури як навчальна дисципліна
6402,64,0,Генеза української культури - процес етногенезу на теренах України
6403,64,0,Становлення архетипів української свідомості. Міфологічний світ слов'ян-язичників
6404,64,0,Культурна картина світу в історії етносів на теренах України
6405,64,0,Історія української культури доби Київської Русі(культура княжого періоду)
6406,64,0,Українська культура в умовах литовської державності
6407,64,0,Барокова картина світу в українській культурі XVI-XVIII століть
6408,64,0,Національне самовизначення як тенденція української культури XIX століття
6409,64,0,Характеристика розвитку української культури в першій половині - 80-х роках ХХ ст.
6501,65,0,Огляд курсу
6502,65,0,Проектування мереж. Моделі мереж
6503,65,0,Фізичний рівень
6504,65,0,Волокно. Бездротовий інтернет. Рівень застосунку
6505,65,0,"Протоколи рівня застосунку: Telnet, SSH, HTTP, DNS"
6506,65,0,Транспортний рівень
6507,65,0,Мережевий рівень. IPv4
6508,65,0,Підмережі
6509,65,0,Роутинг
6510,65,0,Динамічний роутинг
6511,65,0,"DHCP, NAT, Firewall"
6601,66,0,Ада. Семафори
6602,66,0,Бібліотека Win32
6603,66,0,"C#. Семафори, м'ютекси, події, критичні секції"
6604,66,0,"OpenMP, бар'єри, критичні секції"
6605,66,0,Ada. Захищені модулі
6606,66,0,Java. Монітори
6607,66,0,Ada. Rendezvous
6608,66,0,MPI
6701,67,0,"Теорія держави і права, як юридична наука"
6702,67,0,Місце теорії держави і права в системі суспільних та юридичних норм
6703,67,0,Суспільний устрій. Влада. Управління
6704,67,0,Функції держави. Державна влада
6705,67,0,Механізм держави. Форми держави
6706,67,0,Теорія природного права
6707,67,0,Принципи права
6708,67,0,Норма права
6709,67,0,Поняття та види джерел права
6710,67,0,Закони і підзаконні акти
6711,67,0,Правотворчість. Юридичні техніки
6712,67,0,"Основи цивільного, трудового, адміністративного та кримінального права в Україні"
6901,69,0,Розпізнавання типів формальних мов та граматик
6902,69,0,Форматування постфіксного запису
6903,69,0,Побудова кінцевого автомату по регулярній граматиці
6904,69,0,Розробка та реалізація блоку синтаксичного та семантичного аналізу
7001,70,0,Основні поняття теорії побудови системи безпеки комп'ютерних систем та мереж
7002,70,0,"Ідентифікація, Автентифікація, Права розмежування доступу в КСС"
7003,70,0,Криптографічні моделі
7004,70,0,Протоколи автентифікації в КСС
7005,70,0,Проектування і класифікація захищених комп'ютерних систем
7101,71,0,Графічні примітиви
7102,71,0,Геометричні і графічні моделі
7103,71,0,Графік поверхні
7104,71,0,Ділова графіка
7105,71,0,Рух об'єкту
7106,71,0,Обертання каркасної моделі
7107,71,0,Обертання каркасної моделі за допомогою матриці тривимірного перетворення
7301,73,0,Діаграма прецендентів
7302,73,0,Діаграми класів
7303,73,0,Діаграми діяльності
7304,73,0,Діаграми взаємодії
7305,73,0,Діаграма станів
7306,73,0,Діаграма компонентів
7307,73,0,Діаграма розгортання
7308,73,0,Ззворотне проектування
7401,74,0,Політологія. Політика
7402,74,0,Політика та влада
7403,74,0,Політична система. Структура та функції політичної системи
7404,74,0,"Сутність, структура, функції держави. Форми державного управління, форми державного устрою"
7405,74,0,Політичне лідерство та політичні еліти в суспільстві
7406,74,0,Партії. Типологія партійних систем. Соціально-політичні рухи
7407,74,0,Вибори. Виборчий процес. Типи виборчих систем. Абсентеїзм. Чорний піар.
7408,74,0,Політична культура та політична свідомість. Функції та шляхи формування політичної культури
7409,74,0,Теми курсу
7601,76,0,JDBC. Сервлети
7602,76,0,Java Server Faces
7603,76,0,Java Persistence API
7604,76,0,Java Message Service
7605,76,0,Авторизація та автентифікація в JavaEE
7606,76,0,Моніторинг та оптимізація Java-застосунків
7701,77,0,Життєвий цикл програмного забезпечення
7702,77,0,Види тестування 
7703,77,0,Тест-план
7704,77,0,Тестова документація
7705,77,0,Баг-репорт
7706,77,0,Веб-тестування
8101,81,0,Розподілені обчислення
8102,81,0,Паралельні обчислення
8103,81,0,Метрики
8104,81,0,Р2Р та волонтерські обчислення
