id,parentId,priority,title
3001,30,1,Основні положення.
3002,30,2,Алгебри перемикальних функцій
3003,30,3,Мінімізація перемикальних функцій.
3004,30,4,Проектування логічних схем у заданому елементному базисі
3005,30,5,Типові логічні схеми
3006,30,6,Типові схеми з пам’яттю
3007,30,7,Теорія абстрактних автоматів
3008,30,8,Синтез автоматів на абстрактному рівні
3009,30,9,Синтез автоматів методом декомпозиції тригерів
3010,30,10,Системи числення, визначення, класифікація
3011,30,11,Подання та зберігання інформації в комп’ютерах
3012,30,12,Операції з фіксованою комою
3013,30,13,Операції з плаваючою комою
3101,31,1,Диференціальне числення функції багатьох змінних
3102,31,2,Інтегральне числення функції багатьох змінних
3103,31,3,Диференціальні рівняння першого порядку
3104,31,4,Диференціальні рівняння вищих порядків
3105,31,5,Системи диференціальних рівнянь
3106,31,6,Числові ряди
3107,31,7,Функціональні ряди
3108,31,8,Тригонометричні ряди Фур’є, інтеграл Фур’є
3201,32,1,Рядки
3202,32,2,Комбіновані структури
3203,32,3,Множини
3204,32,4,Файли даних
3205,32,5,Динамічний розподіл пам’яті
3206,32,6,Динамічні масиви
3207,32,7,Списки
3208,32,8,Дерева
3301,33,1,Основні типи та оператори мови програмування Java
3302,33,2,Масиви в мові програмування Java
3303,33,3,Рядки в мові програмування Java
3304,33,4,Класи в мові програмування Java
3305,33,5,Наслідування та поліморфізм
3306,33,6,Робота з колекціями в мові програмування Java
3307,33,7,Обробка виключних ситуацій та основи тестування в мові програмування Java
3308,33,8,Робота з потоками в мові програмування Java
3401,34,1,Мова як суспільне явище. Державна мова – мова професійного спілкування
3402,34,2,Основи культури української мови
3403,34,3,Формування мовної та мовленнєвої компетенції
3404,34,4,Спілкування як інструмент професійної діяльності
3405,34,5,Риторика і мистецтво презентації
3406,34,6,Культура усного фахового спілкування. Форми колективного обговорення професійних проблем.
3407,34,7,Ділова писемна комунікація
3408,34,8,Науковий стиль і його засоби у професійному мовленні.
3409,34,9,Проблеми перекладу та особливості редагування наукових текстів.
3501,35,1,Основні поняття Web-дизайну
3502,35,2,Етапи розробки WEB-сайту
3503,35,3,Структура HTML документу
3504,35,4,Фрейми та форми
3505,35,5,Каскадні таблиці стилів CSS
3506,35,6,Розмітка сторінки
3507,35,7,Використання програми Photoshop для створення макетів Web-сторінок
3508,35,8,Використання графічного редактору сайтів Adobe Dreamweaver
3509,35,9,Автоматизоване створення Web-сторінок
3510,35,10,Особливості Web-конструювання в середовищі FrontPage
3511,35,11,Мова сценаріїв JavaScript. Технологія клієнт-сервер
3512,35,12,Основи jQuery
3513,35,13,Теорія кольору. Композиція. Шаблони сайтів
3514,35,14,Використання аудіо та відео інформації
3515,35,15,Технології Flash. Основи анімації. Ефективні прийоми малювання
3516,35,16,Технології Flash. Основи анімації. Створення, публікація та експорт Flash-ролика
3517,35,17,CMS-системи
3601,36,1,Основні положення.
3602,36,2,Типова архітектура комп'ютера.
3603,36,3,Основи цифрової обробки інформації в арифметичних пристроїв.
3604,36,4,Управління обчислювальними процесами на рівні мікрооперацій.
3605,36,5,Системи команд, управління їх виконанням.
3606,36,6,Етапи виконання команд різного призначення.
3607,36,7,Введення в архітектуру процесорів
3608,36,8,Організація і взаємодія модулів пам’яті різних рівнів при виконанні програм в ЕОМ.
3609,36,9,Управління командами. Взаємодія пристроїв процесора і пам’яті при виконанні команд
3610,36,10,Робота процесорів з пасивними зовнішніми пристроями.
3611,36,11,Робота процесорів з активними зовнішніми пристроями.
3701,37,1,Людина
3702,37,2,Комп‘ютер
3703,37,3,Взаємодія
3704,37,4,Основні парадигми та принципи
3705,37,5,Середовище взаємодії
3706,37,6,Принципи використання
3707,37,7,Процес проектування
3708,37,8,Моделі користувачів
3709,37,9,Аналіз задач та модель середовища
3710,37,10,Опис та проектування діалогів
3711,37,11,Створення моделі інтерактивної системи
3712,37,12,Підтримка розробки
3713,37,13,Інструментальні засоби програмування графічного діалогу
3714,37,14,Оцінка якості та функціонування інтерфейсу
3715,37,15,Допомога користувача та його навчання
3716,37,16,Візуалізація даних
3717,37,17,Системи підтримки багатокористувальницької роботи
3718,37,18,Мультимедіа середовища та сенсорні системи
3719,37,19,Системи віртуальної реальності
3801,38,1,Види шаблонів проектування ПЗ.
3802,38,2,Структурні шаблони.
3803,38,3,Застосування шаблонів Adapter, Bridge, Composite, Decorator, Facade, Flyweight та Proxy.
3804,38,4,Шаблони, що породжують.
3805,38,5,Застосування шаблонів Abstract Factory, Builder, Factory Method, Prototype та Singleton.
3806,38,6,Шаблони поведінки.
3807,38,7,Застосування шаблонів Chain of Responsibility, Command, Interpreter, Iterator та Mediator.
3808,38,8,Шаблони поведінки.
3809,38,9,Застосування шаблонів Memento, Observer, State, Strategy та Visistor.
3901,39,1,Історія та розвиток ОС. Класифікація ОС. Огляд сучасних ОС.
3902,39,2,Рівні привілеїв центрального процесора. Режим виконання ядра та користувача. Умови переходу в режим виконання ядра з режиму користувача.
3903,39,3,Обробка переривань. Системні виклики. Методи передачі аргументів системним викликам. Блокуючи та швидкі системні виклики. Бінарна сумісність ОС.
3904,39,4,Контекст процесу. Добровільне та примусове переключення контекстів процесів.
3905,39,5,Сигнали. Синхронні та асинхронні сигнали у відношенні до процесу. Ігнорування, блокування, обробка сигналів.
3906,39,6,Поняття ресурсу системи. Діаграма станів процесу. Активні та сплячі процеси. Поняття завантаженості системи. Пріоритети процесів.
3907,39,7,Порівняння однопотокових та багатопотокових систем. Стандарти написання багатопотокових програм.
3908,39,8,Підтримка багатопотокових процесів користувачів в однопотоковому ядрі ОС. Режим роботи 1:N.
3909,39,9,Підтримка багатопотокових процесів користувачів в багатопотоковому ядрі. Режими роботи 1:1. Активація планувальника (режим роботи M:N).
3910,39,10,Визначення файлової системи. Семантика файлової системи. Підтримка файлових систем в перших ОС. Драйвер файлової системи в ядрі, та драйвер файлової систем в процесі користувача.
3911,39,11,Віртуальна файлова система. Об’єктно орієнтований підхід до підтримки файлових систем. Монтування та демонтування файлової системи. Кеш імен файлів. Буферний кеш файлових систем.
3912,39,12,Локальні файлові системи. Віддалені файлові системи. Синтетичні файлові системи. Стек файлових систем. Приклади синтетичних та стекових файлових систем. Приклади віддалених файлових систем.
3913,39,13,Вимоги до сучасних локальних файлових систем. Знімки та клони файлових систем. Побудова дзеркал, об’єднань та масивів у файлових системах.
3914,39,14,Управління пам’яттю в перших ОС. Визначення адресного простору процесу. Технологія оверлей.
3915,39,15,Віртуальна пам’ять. Фізичні та віртуальні сторінки. Таблиці перетворення адресів. Буфер швидкого перетворення адресів.
3916,39,16,Атрибути віртуальних сторінок. Моделювання атрибутів сторінок що не підтримуються апаратурою. Алгоритми заміни сторінок віртуальної пам’яті. Великі сторінки. Сутність та алгоритми підтримки великих сторінок.
3917,39,17,Пам’ять що розділяється декількома локальними процесами. Пам’ять що розділяється декількома віддаленими процесами.
3918,39,18,Оптимізація “копіювання при записі”. Стратегії гарантування наявності пам’яті в ОС.
